,Source,Destination,Class
0,6194,255,1
1,6194,980,1
2,6194,2992,1
3,6194,2507,1
4,6194,986,1
5,6194,4003,1
6,0,82,1
7,15,343,1
8,15,4282,1
9,15,5442,1
10,15,1162,1
11,15,3401,1
12,7106,6211,1
13,7106,6611,1
14,7106,1348,1
15,7106,2239,1
16,2,5842,1
17,3,3363,1
18,3,1277,1
19,3,3739,1
20,3,6882,1
21,3,4947,1
22,3,5740,1
23,3,5550,1
24,4,4087,1
25,5,2481,1
26,5,5269,1
27,5,1,1
28,5,3401,1
29,6,6072,1
30,6,3996,1
31,6,448,1
32,6,1673,1
33,6,3079,1
34,6,436,1
35,6,2126,1
36,6,743,1
37,6,4115,1
38,6,6286,1
39,7,2787,1
40,7,1339,1
41,8,6926,1
42,9,3401,1
43,9,3756,1
44,9,1773,1
45,9,5945,1
46,9,5424,1
47,9,474,1
48,9,2872,1
49,9,2439,1
50,9,6121,1
51,9,2352,1
52,9,6168,1
53,9,3258,1
54,10,6269,1
55,11,4291,1
56,11,6536,1
57,11,2054,1
58,11,2677,1
59,12,5237,1
60,12,2176,1
61,13,4198,1
62,13,3322,1
63,13,6553,1
64,13,3418,1
65,13,1615,1
66,13,888,1
67,13,1654,1
68,13,4945,1
69,13,5630,1
70,13,5032,1
71,13,23,1
72,13,2339,1
73,6726,4949,1
74,14,615,1
75,14,2779,1
76,14,1089,1
77,14,3846,1
78,14,3815,1
79,14,2481,1
80,14,4302,1
81,14,3706,1
82,14,5470,1
83,14,4486,1
84,2811,3826,1
85,2811,1536,1
86,2811,1044,1
87,2811,1960,1
88,2811,4639,1
89,2811,5453,1
90,2811,4024,1
91,2811,231,1
92,2811,2922,1
93,2811,2381,1
94,1,954,1
95,1,6448,1
96,1,1376,1
97,1,660,1
98,1,2292,1
99,1,3532,1
100,1,1883,1
101,1,5468,1
102,1,6716,1
103,1,1132,1
104,1,4710,1
105,1,7051,1
106,1,3739,1
107,1,3180,1
108,1,3235,1
109,1,6343,1
110,1,5212,1
111,1,887,1
112,1,4406,1
113,1,3241,1
114,1,4319,1
115,1,259,1
116,1,3807,1
117,1,1390,1
118,1,1115,1
119,16,2444,1
120,16,5892,1
121,16,6315,1
122,16,6079,1
123,16,1752,1
124,104,4406,1
125,104,581,1
126,104,7069,1
127,104,6136,1
128,18,6136,1
129,18,4140,1
130,19,485,1
131,19,365,1
132,19,3731,1
133,19,4967,1
134,19,6682,1
135,19,2819,1
136,19,5146,1
137,19,5358,1
138,19,3325,1
139,20,559,1
140,20,4482,1
141,20,2156,1
142,20,7054,1
143,20,2580,1
144,20,6299,1
145,20,3704,1
146,21,745,1
147,21,1414,1
148,21,710,1
149,21,4960,1
150,21,4700,1
151,21,6554,1
152,21,1158,1
153,22,4543,1
154,22,1773,1
155,23,700,1
156,23,1016,1
157,23,5052,1
158,23,211,1
159,23,5556,1
160,23,737,1
161,23,4230,1
162,23,3845,1
163,23,5554,1
164,23,3847,1
165,23,2872,1
166,23,5973,1
167,23,3108,1
168,23,2428,1
169,23,2218,1
170,23,1567,1
171,23,219,1
172,23,5069,1
173,23,2275,1
174,23,2557,1
175,23,912,1
176,23,506,1
177,23,6553,1
178,23,6213,1
179,23,5451,1
180,23,6422,1
181,23,5338,1
182,23,4748,1
183,23,3237,1
184,23,2566,1
185,23,1846,1
186,23,2590,1
187,23,3243,1
188,23,2002,1
189,23,3462,1
190,23,932,1
191,23,30,1
192,23,6750,1
193,23,877,1
194,23,3052,1
195,23,3138,1
196,23,6121,1
197,23,5530,1
198,23,6459,1
199,23,2166,1
200,23,748,1
201,23,6941,1
202,23,6168,1
203,23,3621,1
204,23,2529,1
205,23,888,1
206,23,7119,1
207,23,2345,1
208,23,3997,1
209,23,4161,1
210,23,4115,1
211,23,1175,1
212,24,208,1
213,24,2625,1
214,24,100,1
215,24,2609,1
216,24,3278,1
217,24,3495,1
218,24,3166,1
219,24,453,1
220,24,1961,1
221,24,5337,1
222,24,3285,1
223,24,2381,1
224,24,446,1
225,24,3617,1
226,24,938,1
227,24,1836,1
228,24,3589,1
229,24,748,1
230,24,345,1
231,24,5396,1
232,24,5073,1
233,24,1625,1
234,24,3290,1
235,24,6808,1
236,24,2740,1
237,24,6121,1
238,24,1948,1
239,24,56,1
240,24,1576,1
241,24,2761,1
242,24,5100,1
243,24,5693,1
244,24,788,1
245,24,6357,1
246,24,1089,1
247,24,5842,1
248,24,26,1
249,24,3462,1
250,24,4191,1
251,24,2853,1
252,24,4098,1
253,24,5093,1
254,24,5758,1
255,24,4681,1
256,24,5969,1
257,24,372,1
258,24,2403,1
259,24,2186,1
260,24,2062,1
261,24,4866,1
262,24,1438,1
263,24,3320,1
264,24,4673,1
265,24,778,1
266,24,6812,1
267,24,2332,1
268,24,3991,1
269,24,5644,1
270,24,5899,1
271,24,4876,1
272,24,1869,1
273,24,3999,1
274,24,5163,1
275,24,4444,1
276,24,2314,1
277,24,2419,1
278,24,4239,1
279,24,1877,1
280,24,792,1
281,24,6950,1
282,24,5792,1
283,24,6716,1
284,24,6482,1
285,24,795,1
286,24,5906,1
287,24,6150,1
288,24,2887,1
289,24,2426,1
290,24,4129,1
291,24,1240,1
292,24,5446,1
293,24,5447,1
294,24,6260,1
295,24,2393,1
296,24,165,1
297,24,1600,1
298,24,1280,1
299,24,2506,1
300,24,5787,1
301,24,3484,1
302,24,807,1
303,24,5569,1
304,24,3691,1
305,24,4076,1
306,24,1998,1
307,24,4914,1
308,24,2447,1
309,24,1032,1
310,24,7021,1
311,24,5802,1
312,24,4582,1
313,24,6978,1
314,24,1376,1
315,24,5555,1
316,24,5489,1
317,24,2458,1
318,24,5416,1
319,24,2011,1
320,24,4796,1
321,24,6783,1
322,24,6588,1
323,24,4597,1
324,24,2845,1
325,24,1812,1
326,24,2924,1
327,24,3253,1
328,24,6404,1
329,24,2345,1
330,24,6202,1
331,24,1396,1
332,24,6138,1
333,24,1283,1
334,25,4816,1
335,26,5721,1
336,26,736,1
337,26,1214,1
338,26,3493,1
339,26,2779,1
340,26,5969,1
341,26,4732,1
342,26,3053,1
343,26,6659,1
344,26,4949,1
345,26,2381,1
346,26,5068,1
347,26,4079,1
348,26,3621,1
349,26,4623,1
350,26,1414,1
351,26,3288,1
352,26,3290,1
353,26,6121,1
354,26,792,1
355,26,2439,1
356,26,2061,1
357,26,788,1
358,26,1237,1
359,26,4721,1
360,26,6941,1
361,26,3991,1
362,26,4665,1
363,26,2180,1
364,26,2201,1
365,26,6716,1
366,26,4624,1
367,26,2403,1
368,26,2861,1
369,26,2864,1
370,26,6001,1
371,26,2972,1
372,26,2527,1
373,26,587,1
374,26,5315,1
375,26,890,1
376,26,683,1
377,26,5122,1
378,26,4196,1
379,26,2658,1
380,26,6352,1
381,26,56,1
382,26,392,1
383,26,2662,1
384,26,4124,1
385,26,4330,1
386,26,6669,1
387,26,2426,1
388,26,5842,1
389,26,5328,1
390,26,3557,1
391,26,408,1
392,26,275,1
393,26,2047,1
